code,manufacturer,description,type,locale,is_generic,source_file
P01D2,GENERIC,Cylinder 4 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01D3,GENERIC,Cylinder 5 Injection Timing Performance - Over Retarded,P,en,1,p_codes
P01D4,GENERIC,Cylinder 5 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01D5,GENERIC,Cylinder 6 Injection Timing Performance - Over Retarded,P,en,1,p_codes
P01D6,GENERIC,Cylinder 6 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01D7,GENERIC,Cylinder 7 Injection Timing Performance - Over Retarded,P,en,1,p_codes
P01D8,GENERIC,Cylinder 7 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01D9,GENERIC,Cylinder 8 Injection Timing Performance - Over Retarded,P,en,1,p_codes
P01DA,GENERIC,Cylinder 8 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01DB,GENERIC,Cylinder 9 Injection Timing Performance - Over Retarded,P,en,1,p_codes
P01DC,GENERIC,Cylinder 9 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01DD,GENERIC,Cylinder 10 Injection Timing Performance - Over Retarded,P,en,1,p_codes
P01DE,GENERIC,Cylinder 10 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01DF,GENERIC,Cylinder 11 Injection Timing Performance - Over Retarded,P,en,1,p_codes
P01E0,GENERIC,Cylinder 11 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01E1,GENERIC,Cylinder 12 Injection Timing Performance - Over Retarded,P,en,1,p_codes
P01E2,GENERIC,Cylinder 12 Injection Timing Performance - Over Advanced,P,en,1,p_codes
P01E3,GENERIC,Engine Coolant Temperature Sensor 3 Circuit,P,en,1,p_codes
P01E4,GENERIC,Engine Coolant Temperature Sensor 3 Circuit Range/Performance,P,en,1,p_codes
P01E5,GENERIC,Engine Coolant Temperature Sensor 3 Circuit Low,P,en,1,p_codes
P01E6,GENERIC,Engine Coolant Temperature Sensor 3 Circuit High,P,en,1,p_codes
P01E7,GENERIC,Engine Coolant Temperature Sensor 3 Circuit Intermittent/Erratic,P,en,1,p_codes
P01E8,GENERIC,Engine Coolant Heater A Control Circuit/Open,P,en,1,p_codes
P01E9,GENERIC,Engine Coolant Heater A Control Circuit Low,P,en,1,p_codes
P01EA,GENERIC,Engine Coolant Heater A Control Circuit High,P,en,1,p_codes
P01EB,GENERIC,Engine Coolant Heater A Control Circuit Performance,P,en,1,p_codes
P01EC,GENERIC,Engine Coolant Heater B Control Circuit/Open,P,en,1,p_codes
P01ED,GENERIC,Engine Coolant Heater B Control Circuit Low,P,en,1,p_codes
P01EE,GENERIC,Engine Coolant Heater B Control Circuit High,P,en,1,p_codes
P01EF,GENERIC,Engine Coolant Heater B Control Circuit Performance,P,en,1,p_codes
P01F0,GENERIC,Coolant Temperature Relapsed Below Diagnostic Monitoring Temperature,P,en,1,p_codes
P01F1,GENERIC,O2 Sensor Circuit Bank 1 Sensor 4,P,en,1,p_codes
P01F2,GENERIC,O2 Sensor Circuit Low Voltage Bank 1 Sensor 4,P,en,1,p_codes
P01F3,GENERIC,O2 Sensor Circuit High Voltage Bank 1 Sensor 4,P,en,1,p_codes
P01F4,GENERIC,O2 Sensor Circuit Slow Response Bank 1 Sensor 4,P,en,1,p_codes
P01F5,GENERIC,O2 Sensor Circuit No Activity Detected Bank 1 Sensor 4,P,en,1,p_codes
P01F6,GENERIC,O2 Sensor Signal Biased/Stuck Lean Bank 1 Sensor 4,P,en,1,p_codes
P01F7,GENERIC,O2 Sensor Signal Biased/Stuck Rich Bank 1 Sensor 4,P,en,1,p_codes
P01F8,GENERIC,Engine Coolant Heater A Control Circuit Driver Current/Temperature Too High,P,en,1,p_codes
P01F9,GENERIC,Engine Coolant Heater B Control Circuit Driver Current/Temperature Too High,P,en,1,p_codes
P01FA,GENERIC,Turbocharger Outlet Pressure Sensor B Circuit,P,en,1,p_codes
P01FB,GENERIC,Turbocharger Outlet Pressure Sensor B Range/Performance,P,en,1,p_codes
P01FC,GENERIC,Turbocharger Outlet Pressure Sensor B Circuit Low,P,en,1,p_codes
P01FD,GENERIC,Turbocharger Outlet Pressure Sensor B Circuit High,P,en,1,p_codes
P01FE,GENERIC,Turbocharger Outlet Pressure Sensor B Intermittent/Erratic,P,en,1,p_codes
P01FF,GENERIC,Turbocharger Outlet Pressure Sensor A/B Correlation,P,en,1,p_codes
P0200,GENERIC,Injector Circuit/Open,P,en,1,p_codes
P0201,GENERIC,Cylinder 1 Injector A Circuit,P,en,1,p_codes
P0202,GENERIC,Cylinder 2 Injector A Circuit,P,en,1,p_codes
P0203,GENERIC,Cylinder 3 Injector A Circuit,P,en,1,p_codes
P0204,GENERIC,Cylinder 4 Injector A Circuit,P,en,1,p_codes
P0205,GENERIC,Cylinder 5 Injector A Circuit,P,en,1,p_codes
P0206,GENERIC,Cylinder 6 Injector A Circuit,P,en,1,p_codes
P0207,GENERIC,Cylinder 7 Injector A Circuit,P,en,1,p_codes
P0208,GENERIC,Cylinder 8 Injector A Circuit,P,en,1,p_codes
P0209,GENERIC,Cylinder 9 Injector A Circuit,P,en,1,p_codes
P020A,GENERIC,Cylinder 1 Injection Timing,P,en,1,p_codes
P020B,GENERIC,Cylinder 2 Injection Timing,P,en,1,p_codes
P020C,GENERIC,Cylinder 3 Injection Timing,P,en,1,p_codes
P020D,GENERIC,Cylinder 4 Injection Timing,P,en,1,p_codes
P020E,GENERIC,Cylinder 5 Injection Timing,P,en,1,p_codes
P020F,GENERIC,Cylinder 6 Injection Timing,P,en,1,p_codes
P0210,GENERIC,Cylinder 10 Injector A Circuit,P,en,1,p_codes
P0211,GENERIC,Cylinder 11 Injector A Circuit,P,en,1,p_codes
P0212,GENERIC,Cylinder 12 Injector A Circuit,P,en,1,p_codes
P0213,GENERIC,Cold Start Injector 1,P,en,1,p_codes
P0214,GENERIC,Cold Start Injector 2,P,en,1,p_codes
P0215,GENERIC,Engine Shutoff Solenoid,P,en,1,p_codes
P0216,GENERIC,Injector/Injection Timing Control Circuit,P,en,1,p_codes
P0217,GENERIC,Engine Coolant Over Temperature Condition,P,en,1,p_codes
P0218,GENERIC,Transmission Fluid Temperature Sensor A Over Temperature Condition,P,en,1,p_codes
P0219,GENERIC,Engine Overspeed Condition,P,en,1,p_codes
P021A,GENERIC,Cylinder 7 Injection Timing,P,en,1,p_codes
P021B,GENERIC,Cylinder 8 Injection Timing,P,en,1,p_codes
P021C,GENERIC,Cylinder 9 Injection Timing,P,en,1,p_codes
P021D,GENERIC,Cylinder 10 Injection Timing,P,en,1,p_codes
P021E,GENERIC,Cylinder 11 Injection Timing,P,en,1,p_codes
P021F,GENERIC,Cylinder 12 Injection Timing,P,en,1,p_codes
P0220,GENERIC,Throttle/Pedal Position Sensor/Switch B Circuit,P,en,1,p_codes
P0221,GENERIC,Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance,P,en,1,p_codes
P0222,GENERIC,Throttle/Pedal Position Sensor/Switch B Circuit Low,P,en,1,p_codes
P0223,GENERIC,Throttle/Pedal Position Sensor/Switch B Circuit High,P,en,1,p_codes
P0224,GENERIC,Throttle/Pedal Position Sensor/Switch B Circuit Intermittent,P,en,1,p_codes
P0225,GENERIC,Throttle/Pedal Position Sensor/Switch C Circuit,P,en,1,p_codes
P0226,GENERIC,Throttle/Pedal Position Sensor/Switch C Circuit Range/Performance,P,en,1,p_codes
P0227,GENERIC,Throttle/Pedal Position Sensor/Switch C Circuit Low,P,en,1,p_codes
P0228,GENERIC,Throttle/Pedal Position Sensor/Switch C Circuit High,P,en,1,p_codes
P0229,GENERIC,Throttle/Pedal Position Sensor/Switch C Circuit Intermittent,P,en,1,p_codes
P022A,GENERIC,Charge Air Cooler Bypass Control A Circuit /Open,P,en,1,p_codes
P022B,GENERIC,Charge Air Cooler Bypass Control A Circuit Low,P,en,1,p_codes
P022C,GENERIC,Charge Air Cooler Bypass Control A Circuit High,P,en,1,p_codes
P022D,GENERIC,Charge Air Cooler Bypass Control B Circuit /Open,P,en,1,p_codes
P022E,GENERIC,Charge Air Cooler Bypass Control B Circuit Low,P,en,1,p_codes
P022F,GENERIC,Charge Air Cooler Bypass Control B Circuit High,P,en,1,p_codes
P0230,GENERIC,Fuel Pump Primary Circuit,P,en,1,p_codes
P0231,GENERIC,Fuel Pump Secondary Circuit Low,P,en,1,p_codes
P0232,GENERIC,Fuel Pump Secondary Circuit High,P,en,1,p_codes
P0233,GENERIC,Fuel Pump Secondary Circuit Intermittent,P,en,1,p_codes
P0234,GENERIC,Turbocharger/Supercharger A Overboost Condition,P,en,1,p_codes
P0235,GENERIC,Turbocharger/Supercharger Boost Sensor A Circuit,P,en,1,p_codes
P0236,GENERIC,Turbocharger/Supercharger Boost Sensor A Circuit Range/Performance,P,en,1,p_codes
P0237,GENERIC,Turbocharger/Supercharger Boost Sensor A Circuit Low,P,en,1,p_codes
P0238,GENERIC,Turbocharger/Supercharger Boost Sensor A Circuit High,P,en,1,p_codes
P0239,GENERIC,Turbocharger/Supercharger Boost Sensor B Circuit,P,en,1,p_codes
P023A,GENERIC,Charge Air Cooler Coolant Pump A Control Circuit/Open,P,en,1,p_codes
P023B,GENERIC,Charge Air Cooler Coolant Pump A Control Circuit Low,P,en,1,p_codes
P023C,GENERIC,Charge Air Cooler Coolant Pump A Control Circuit High,P,en,1,p_codes
P023D,GENERIC,Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor A Correlation,P,en,1,p_codes
P023E,GENERIC,Manifold Absolute Pressure - Turbocharger/Supercharger Boost Sensor B Correlation,P,en,1,p_codes
P023F,GENERIC,Fuel Pump Secondary Circuit/Open,P,en,1,p_codes
P0240,GENERIC,Turbocharger/Supercharger Boost Sensor B Circuit Range/Performance,P,en,1,p_codes
P0241,GENERIC,Turbocharger/Supercharger Boost Sensor B Circuit Low,P,en,1,p_codes
P0242,GENERIC,Turbocharger/Supercharger Boost Sensor B Circuit High,P,en,1,p_codes
P0243,GENERIC,Turbocharger/Supercharger Wastegate Actuator A,P,en,1,p_codes
P0244,GENERIC,Turbocharger/Supercharger Wastegate Actuator A Range/Performance,P,en,1,p_codes
P0245,GENERIC,Turbocharger/Supercharger Wastegate Actuator A Low,P,en,1,p_codes
P0246,GENERIC,Turbocharger/Supercharger Wastegate Actuator A High,P,en,1,p_codes
P0247,GENERIC,Turbocharger/Supercharger Wastegate Actuator B,P,en,1,p_codes
P0248,GENERIC,Turbocharger/Supercharger Wastegate Actuator B Range/Performance,P,en,1,p_codes
P0249,GENERIC,Turbocharger/Supercharger Wastegate Actuator B Low,P,en,1,p_codes
P024A,GENERIC,Charge Air Cooler Bypass Control A Range/Performance,P,en,1,p_codes
P024B,GENERIC,Charge Air Cooler Bypass Control A Stuck,P,en,1,p_codes
P024C,GENERIC,Charge Air Cooler Bypass Position Sensor A Circuit,P,en,1,p_codes
P024D,GENERIC,Charge Air Cooler Bypass Position Sensor A Circuit Range/Performance,P,en,1,p_codes
P024E,GENERIC,Charge Air Cooler Bypass Position Sensor A Circuit Low,P,en,1,p_codes
P024F,GENERIC,Charge Air Cooler Bypass Position Sensor A Circuit High,P,en,1,p_codes
P0250,GENERIC,Turbocharger/Supercharger Wastegate Actuator B High,P,en,1,p_codes
P0251,GENERIC,Injection Pump Fuel Metering Control A (Cam/Rotor/Injector),P,en,1,p_codes
P0252,GENERIC,Injection Pump Fuel Metering Control A Range/Performance (Cam/Rotor/Injector),P,en,1,p_codes
P0253,GENERIC,Injection Pump Fuel Metering Control A Low (Cam/Rotor/Injector),P,en,1,p_codes
P0254,GENERIC,Injection Pump Fuel Metering Control A High (Cam/Rotor/Injector),P,en,1,p_codes
P0255,GENERIC,Injection Pump Fuel Metering Control A Intermittent (Cam/Rotor/Injector),P,en,1,p_codes
P0256,GENERIC,Injection Pump Fuel Metering Control B (Cam/Rotor/Injector),P,en,1,p_codes
P0257,GENERIC,Injection Pump Fuel Metering Control B Range/Performance (Cam/Rotor/Injector),P,en,1,p_codes
P0258,GENERIC,Injection Pump Fuel Metering Control B Low (Cam/Rotor/Injector),P,en,1,p_codes
P0259,GENERIC,Injection Pump Fuel Metering Control B High (Cam/Rotor/Injector),P,en,1,p_codes
P025A,GENERIC,Fuel Pump Module A Control Circuit/Open,P,en,1,p_codes
P025B,GENERIC,Fuel Pump Module A Control Circuit Range/Performance,P,en,1,p_codes
P025C,GENERIC,Fuel Pump Module A Control Circuit Low,P,en,1,p_codes
P025D,GENERIC,Fuel Pump Module A Control Circuit High,P,en,1,p_codes
P025E,GENERIC,Turbocharger/Supercharger Boost Sensor A Intermittent/Erratic,P,en,1,p_codes
P025F,GENERIC,Turbocharger/Supercharger Boost Sensor B Intermittent/Erratic,P,en,1,p_codes
P0260,GENERIC,Injection Pump Fuel Metering Control B Intermittent (Cam/Rotor/Injector),P,en,1,p_codes
P0261,GENERIC,Cylinder 1 Injector A Circuit Low,P,en,1,p_codes
P0262,GENERIC,Cylinder 1 Injector A Circuit High,P,en,1,p_codes
P0263,GENERIC,Cylinder 1 Contribution/Balance,P,en,1,p_codes
P0264,GENERIC,Cylinder 2 Injector A Circuit Low,P,en,1,p_codes
P0265,GENERIC,Cylinder 2 Injector A Circuit High,P,en,1,p_codes
P0266,GENERIC,Cylinder 2 Contribution/Balance,P,en,1,p_codes
P0267,GENERIC,Cylinder 3 Injector A Circuit Low,P,en,1,p_codes
P0268,GENERIC,Cylinder 3 Injector A Circuit High,P,en,1,p_codes
P0269,GENERIC,Cylinder 3 Contribution/Balance,P,en,1,p_codes
P026A,GENERIC,Charge Air Cooler Efficiency Below Threshold,P,en,1,p_codes
P026B,GENERIC,Injection Timing Performance,P,en,1,p_codes
P026C,GENERIC,Fuel Injection Quantity A Lower Than Expected,P,en,1,p_codes
P026D,GENERIC,Fuel Injection Quantity A Higher Than Expected,P,en,1,p_codes
P026E,GENERIC,Charge Air Cooler Coolant Pump A Performance,P,en,1,p_codes
P026F,GENERIC,Coolant Thermostat Performance,P,en,1,p_codes
P0270,GENERIC,Cylinder 4 Injector A Circuit Low,P,en,1,p_codes
P0271,GENERIC,Cylinder 4 Injector A Circuit High,P,en,1,p_codes
P0272,GENERIC,Cylinder 4 Contribution/Balance,P,en,1,p_codes
P0273,GENERIC,Cylinder 5 Injector A Circuit Low,P,en,1,p_codes
P0274,GENERIC,Cylinder 5 Injector A Circuit High,P,en,1,p_codes
P0275,GENERIC,Cylinder 5 Contribution/Balance,P,en,1,p_codes
P0276,GENERIC,Cylinder 6 Injector A Circuit Low,P,en,1,p_codes
P0277,GENERIC,Cylinder 6 Injector A Circuit High,P,en,1,p_codes
P0278,GENERIC,Cylinder 6 Contribution/Balance,P,en,1,p_codes
P0279,GENERIC,Cylinder 7 Injector A Circuit Low,P,en,1,p_codes
P027A,GENERIC,Fuel Pump Module B Control Circuit/Open,P,en,1,p_codes
P027B,GENERIC,Fuel Pump Module B Control Circuit Range/Performance,P,en,1,p_codes
P027C,GENERIC,Fuel Pump Module B Control Circuit Low,P,en,1,p_codes
P027D,GENERIC,Fuel Pump Module B Control Circuit High,P,en,1,p_codes
P027E,GENERIC,Cold Start Fuel Injection Quantity A Lower Than Expected,P,en,1,p_codes
P027F,GENERIC,Cold Start Fuel Injection Quantity A Higher Than Expected,P,en,1,p_codes
P0280,GENERIC,Cylinder 7 Injector A Circuit High,P,en,1,p_codes
P0281,GENERIC,Cylinder 7 Contribution/Balance,P,en,1,p_codes
P0282,GENERIC,Cylinder 8 Injector A Circuit Low,P,en,1,p_codes
P0283,GENERIC,Cylinder 8 Injector A Circuit High,P,en,1,p_codes
P0284,GENERIC,Cylinder 8 Contribution/Balance,P,en,1,p_codes
P0285,GENERIC,Cylinder 9 Injector A Circuit Low,P,en,1,p_codes
P0286,GENERIC,Cylinder 9 Injector A Circuit High,P,en,1,p_codes
P0287,GENERIC,Cylinder 9 Contribution/Balance,P,en,1,p_codes
P0288,GENERIC,Cylinder 10 Injector A Circuit Low,P,en,1,p_codes
P0289,GENERIC,Cylinder 10 Injector A Circuit High,P,en,1,p_codes
P028A,GENERIC,Charge Air Cooler Cooling Fan Control Circuit/Open,P,en,1,p_codes
P028B,GENERIC,Charge Air Cooler Cooling Fan Performance/Stuck Off,P,en,1,p_codes
P028C,GENERIC,Charge Air Cooler Cooling Fan Stuck On,P,en,1,p_codes
P028D,GENERIC,Charge Air Cooler Cooling Fan Control Circuit Low,P,en,1,p_codes
P028E,GENERIC,Charge Air Cooler Cooling Fan Control Circuit High,P,en,1,p_codes
P028F,GENERIC,Charge Air Cooler Cooling Fan Control Circuit Driver Performance,P,en,1,p_codes
P0290,GENERIC,Cylinder 10 Contribution/Balance,P,en,1,p_codes
P0291,GENERIC,Cylinder 11 Injector A Circuit Low,P,en,1,p_codes
P0292,GENERIC,Cylinder 11 Injector A Circuit High,P,en,1,p_codes
P0293,GENERIC,Cylinder 11 Contribution/Balance,P,en,1,p_codes
P0294,GENERIC,Cylinder 12 Injector A Circuit Low,P,en,1,p_codes
P0295,GENERIC,Cylinder 12 Injector A Circuit High,P,en,1,p_codes
P0296,GENERIC,Cylinder 12 Contribution/Balance,P,en,1,p_codes
P0297,GENERIC,Vehicle Overspeed Condition,P,en,1,p_codes
P0298,GENERIC,Engine Oil Over Temperature,P,en,1,p_codes
P0299,GENERIC,Turbocharger/Supercharger A Underboost Condition,P,en,1,p_codes
P029A,GENERIC,Cylinder 1 - Fuel Trim at Max Limit,P,en,1,p_codes
P029B,GENERIC,Cylinder 1 - Fuel Trim at Min Limit,P,en,1,p_codes
P029C,GENERIC,Cylinder 1 - Injector Restricted,P,en,1,p_codes
P029D,GENERIC,Cylinder 1 - Injector Leaking,P,en,1,p_codes
P029E,GENERIC,Cylinder 2 - Fuel Trim at Max Limit,P,en,1,p_codes
P029F,GENERIC,Cylinder 2 - Fuel Trim at Min Limit,P,en,1,p_codes
P02A0,GENERIC,Cylinder 2 - Injector Restricted,P,en,1,p_codes
P02A1,GENERIC,Cylinder 2 - Injector Leaking,P,en,1,p_codes
P02A2,GENERIC,Cylinder 3 - Fuel Trim at Max Limit,P,en,1,p_codes
P02A3,GENERIC,Cylinder 3 - Fuel Trim at Min Limit,P,en,1,p_codes
P02A4,GENERIC,Cylinder 3 - Injector Restricted,P,en,1,p_codes
P02A5,GENERIC,Cylinder 3 - Injector Leaking,P,en,1,p_codes
P02A6,GENERIC,Cylinder 4 - Fuel Trim at Max Limit,P,en,1,p_codes
P02A7,GENERIC,Cylinder 4 - Fuel Trim at Min Limit,P,en,1,p_codes
P02A8,GENERIC,Cylinder 4 - Injector Restricted,P,en,1,p_codes
P02A9,GENERIC,Cylinder 4 - Injector Leaking,P,en,1,p_codes
P02AA,GENERIC,Cylinder 5 - Fuel Trim at Max Limit,P,en,1,p_codes
P02AB,GENERIC,Cylinder 5 - Fuel Trim at Min Limit,P,en,1,p_codes
P02AC,GENERIC,Cylinder 5 - Injector Restricted,P,en,1,p_codes
P02AD,GENERIC,Cylinder 5 - Injector Leaking,P,en,1,p_codes
P02AE,GENERIC,Cylinder 6 - Fuel Trim at Max Limit,P,en,1,p_codes
P02AF,GENERIC,Cylinder 6 - Fuel Trim at Min Limit,P,en,1,p_codes
P02B0,GENERIC,Cylinder 6 - Injector Restricted,P,en,1,p_codes
P02B1,GENERIC,Cylinder 6 - Injector Leaking,P,en,1,p_codes
P02B2,GENERIC,Cylinder 7 - Fuel Trim at Max Limit,P,en,1,p_codes
P02B3,GENERIC,Cylinder 7 - Fuel Trim at Min Limit,P,en,1,p_codes
P02B4,GENERIC,Cylinder 7 - Injector Restricted,P,en,1,p_codes
P02B5,GENERIC,Cylinder 7 - Injector Leaking,P,en,1,p_codes
P02B6,GENERIC,Cylinder 8 - Fuel Trim at Max Limit,P,en,1,p_codes
P02B7,GENERIC,Cylinder 8 - Fuel Trim at Min Limit,P,en,1,p_codes
P02B8,GENERIC,Cylinder 8 - Injector Restricted,P,en,1,p_codes
P02B9,GENERIC,Cylinder 8 - Injector Leaking,P,en,1,p_codes
P02BA,GENERIC,Cylinder 9 - Fuel Trim at Max Limit,P,en,1,p_codes
P02BB,GENERIC,Cylinder 9 - Fuel Trim at Min Limit,P,en,1,p_codes
P02BC,GENERIC,Cylinder 9 - Injector Restricted,P,en,1,p_codes
P02BD,GENERIC,Cylinder 9 - Injector Leaking,P,en,1,p_codes
P02BE,GENERIC,Cylinder 10 - Fuel Trim at Max Limit,P,en,1,p_codes
P02BF,GENERIC,Cylinder 10 - Fuel Trim at Min Limit,P,en,1,p_codes
P02C0,GENERIC,Cylinder 10 - Injector Restricted,P,en,1,p_codes
P02C1,GENERIC,Cylinder 10 - Injector Leaking,P,en,1,p_codes
P02C2,GENERIC,Cylinder 11 - Fuel Trim at Max Limit,P,en,1,p_codes
P02C3,GENERIC,Cylinder 11 - Fuel Trim at Min Limit,P,en,1,p_codes
P02C4,GENERIC,Cylinder 11 - Injector Restricted,P,en,1,p_codes
P02C5,GENERIC,Cylinder 11 - Injector Leaking,P,en,1,p_codes
P02C6,GENERIC,Cylinder 12 - Fuel Trim at Max Limit,P,en,1,p_codes
P02C7,GENERIC,Cylinder 12 - Fuel Trim at Min Limit,P,en,1,p_codes
P02C8,GENERIC,Cylinder 12 - Injector Restricted,P,en,1,p_codes
P02C9,GENERIC,Cylinder 12 - Injector Leaking,P,en,1,p_codes
P02CA,GENERIC,Turbocharger/Supercharger B Overboost Condition,P,en,1,p_codes
P02CB,GENERIC,Turbocharger/Supercharger B Underboost Condition,P,en,1,p_codes
P02CC,GENERIC,Cylinder 1 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02CD,GENERIC,Cylinder 1 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02CE,GENERIC,Cylinder 2 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02CF,GENERIC,Cylinder 2 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02D0,GENERIC,Cylinder 3 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02D1,GENERIC,Cylinder 3 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02D2,GENERIC,Cylinder 4 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02D3,GENERIC,Cylinder 4 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02D4,GENERIC,Cylinder 5 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02D5,GENERIC,Cylinder 5 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02D6,GENERIC,Cylinder 6 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02D7,GENERIC,Cylinder 6 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02D8,GENERIC,Cylinder 7 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02D9,GENERIC,Cylinder 7 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02DA,GENERIC,Cylinder 8 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02DB,GENERIC,Cylinder 8 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02DC,GENERIC,Cylinder 9 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02DD,GENERIC,Cylinder 9 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02DE,GENERIC,Cylinder 10 Fuel Injector A Offset Learning At Min Limit,P,en,1,p_codes
P02DF,GENERIC,Cylinder 10 Fuel Injector A Offset Learning At Max Limit,P,en,1,p_codes
P02E0,GENERIC,Diesel Intake Air Flow A Control Circuit/Open,P,en,1,p_codes
P02E1,GENERIC,Diesel Intake Air Flow A Control Performance,P,en,1,p_codes
P02E2,GENERIC,Diesel Intake Air Flow A Control Circuit Low,P,en,1,p_codes
P02E3,GENERIC,Diesel Intake Air Flow A Control Circuit High,P,en,1,p_codes
P02E4,GENERIC,Diesel Intake Air Flow A Control Stuck Open,P,en,1,p_codes
P02E5,GENERIC,Diesel Intake Air Flow A Control Stuck Closed,P,en,1,p_codes
P02E6,GENERIC,Diesel Intake Air Flow A Position Sensor Circuit,P,en,1,p_codes
P02E7,GENERIC,Diesel Intake Air Flow A Position Sensor Circuit Range/Performance,P,en,1,p_codes
P02E8,GENERIC,Diesel Intake Air Flow A Position Sensor Circuit Low,P,en,1,p_codes
P02E9,GENERIC,Diesel Intake Air Flow A Position Sensor Circuit High,P,en,1,p_codes
P02EA,GENERIC,Diesel Intake Air Flow A Position Sensor Circuit Intermittent/Erratic,P,en,1,p_codes
P02EB,GENERIC,Diesel Intake Air Flow A Control Motor Current Range/Performance,P,en,1,p_codes
P02EC,GENERIC,Diesel Intake Air Flow A Control System - High Air Flow Detected,P,en,1,p_codes
P02ED,GENERIC,Diesel Intake Air Flow A Control System - Low Air Flow Detected,P,en,1,p_codes
P02EE,GENERIC,Cylinder 1 Injector Circuit Range/Performance,P,en,1,p_codes
P02EF,GENERIC,Cylinder 2 Injector Circuit Range/Performance,P,en,1,p_codes
P02F0,GENERIC,Cylinder 3 Injector Circuit Range/Performance,P,en,1,p_codes
P02F1,GENERIC,Cylinder 4 Injector Circuit Range/Performance,P,en,1,p_codes
P02F2,GENERIC,Cylinder 5 Injector Circuit Range/Performance,P,en,1,p_codes
P02F3,GENERIC,Cylinder 6 Injector Circuit Range/Performance,P,en,1,p_codes
P02F4,GENERIC,Cylinder 7 Injector Circuit Range/Performance,P,en,1,p_codes
P02F5,GENERIC,Cylinder 8 Injector Circuit Range/Performance,P,en,1,p_codes
P02F6,GENERIC,Cylinder 9 Injector Circuit Range/Performance,P,en,1,p_codes
P02F7,GENERIC,Cylinder 10 Injector Circuit Range/Performance,P,en,1,p_codes
P02F8,GENERIC,Cylinder 11 Injector Circuit Range/Performance,P,en,1,p_codes
P02F9,GENERIC,Cylinder 12 Injector Circuit Range/Performance,P,en,1,p_codes
P02FA,GENERIC,Diesel Intake Air Flow Position Sensor Minimum/Maximum Stop Performance,P,en,1,p_codes
P02FB,GENERIC,Cold Start Fuel Injection Control Circuit/Open,P,en,1,p_codes
P02FC,GENERIC,Cold Start Fuel Injection Control Circuit Low,P,en,1,p_codes
P02FD,GENERIC,Cold Start Fuel Injection Control Circuit High,P,en,1,p_codes
P02FE,GENERIC,Cold Start Fuel Injection Control Circuit Range/Performance,P,en,1,p_codes
P02FF,GENERIC,Propulsion System Inactive Timer Performance,P,en,1,p_codes
P0300,GENERIC,Random/Multiple Cylinder Misfire Detected,P,en,1,p_codes
P0301,GENERIC,Cylinder 1 Misfire Detected,P,en,1,p_codes
P0302,GENERIC,Cylinder 2 Misfire Detected,P,en,1,p_codes
P0303,GENERIC,Cylinder 3 Misfire Detected,P,en,1,p_codes
P0304,GENERIC,Cylinder 4 Misfire Detected,P,en,1,p_codes
P0305,GENERIC,Cylinder 5 Misfire Detected,P,en,1,p_codes
P0306,GENERIC,Cylinder 6 Misfire Detected,P,en,1,p_codes
P0307,GENERIC,Cylinder 7 Misfire Detected,P,en,1,p_codes
P0308,GENERIC,Cylinder 8 Misfire Detected,P,en,1,p_codes
P0309,GENERIC,Cylinder 9 Misfire Detected,P,en,1,p_codes
P030A,GENERIC,Ignition A Control Signal Circuit/Open,P,en,1,p_codes
P030B,GENERIC,Ignition A Control Signal Circuit Low,P,en,1,p_codes
P030C,GENERIC,Ignition A Control Signal Circuit High,P,en,1,p_codes
P030D,GENERIC,Ignition B Control Signal Circuit/Open,P,en,1,p_codes
P030E,GENERIC,Ignition B Control Signal Circuit Low,P,en,1,p_codes
P030F,GENERIC,Ignition B Control Signal Circuit High,P,en,1,p_codes
P0310,GENERIC,Cylinder 10 Misfire Detected,P,en,1,p_codes
